,Unnamed: 0,edu,edu_level,elementary_edu,highschool_edu,postsec_edu,undergrad_edu,graduate_edu,grad_highschool_refyear,grad_college_refyear,grad_univ_refyear,student_status,public_sector,private_sector,lfs,occup,industry,self_emp,union,part_time,major_activity,major_source_inc,multiple_jobs,num_jobs,exp,reason_pt,hourly_wage,hours_paid,months_last_worked,tenure,sex,age,year,weight,salary,firm_size,loc_size
23790,65763,some university (no certificate),3,1,1,0,0,0,0,0,0,1,0,1,"employed part-year, not in labour force part-year","chefs and cooks, food and beverage service",accommodation and food services,0,0,1,working,wages and salaries,0,1,3.0,personal or family responsabilities,10.190111731843576,204.0,9.0,17.0,1,29.0,1997,77.5973,1219.3296089385474,1.0,1.0
23887,66046,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year","retail salespersons, sales clerks, cashiers",trade,0,0,1,working,wages and salaries,1,3,8.0,only find PT,12.193296089385475,394.0,,5.0,1,30.0,1997,111.8749,4006.368715083799,1.0,1.0
23888,66051,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,professional in business and finance,accommodation and food services,0,0,0,working,wages and salaries,0,1,12.0,,22.609854748603357,2086.0,,141.0,0,32.0,1997,497.9239,47031.28491620112,100.0,100.0
23889,66052,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,clerical and supervisor occupations,health care and social assistance,0,1,0,working,wages and salaries,0,1,29.0,,25.51882681564246,2086.0,,100.0,0,50.0,1997,65.0231,55740.78212290503,1000.0,500.0
23890,66060,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,"employed, unemployed and not in labour force during year",professional in health,trade,0,0,1,working,wages and salaries,0,1,17.0,FT under 30hrs/wk,11.932011173184357,401.0,,4.0,1,44.0,1997,359.9152,10451.396648044692,1000.0,100.0
23891,66062,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,1,0,employed all year,"retail salespersons, sales clerks, cashiers",educational services,0,1,0,working,wages and salaries,1,2,4.0,,23.18468156424581,1774.0,,16.0,1,26.0,1997,2030.5347,43547.48603351956,1000.0,1.0
23892,66063,11-13 years of elementary and secondary school (not graduated),2,1,0,0,0,0,0,0,0,0,0,1,employed all year,natural and applied sciences,trade,0,0,0,working,wages and salaries,1,2,17.0,,31.35418994413408,2086.0,,78.0,0,33.0,1997,500.8771,71417.87709497206,20.0,1.0
23893,66066,9-10 years of elementary and secondary school,2,1,0,0,0,0,0,0,0,0,0,1,"employed part-year, unemployed part-year",occupations unique to primary industry,agriculture,0,0,0,working,wages and salaries,0,1,7.0,,16.54804469273743,1390.0,,8.0,1,38.0,1997,110.5776,17418.99441340782,20.0,20.0
24096,66638,bachelor's degree,5,1,1,0,1,0,0,0,0,0,1,0,employed all year,teachers and professors,educational services,0,1,1,working,wages and salaries,1,2,4.0,only find PT,35.53474860335195,863.0,,40.0,0,26.0,1997,58.0322,53998.882681564246,1000.0,20.0
24097,66640,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,1,0,1,"employed, unemployed and not in labour force during year",middle management,"finance, insurance, real estate and leasing",0,0,0,working,wages and salaries,0,1,5.0,,29.22907262569833,562.0,9.0,54.0,0,27.0,1997,1042.9734,17418.99441340782,1000.0,1.0
24098,66641,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,teachers and professors,public administration,0,0,0,working,wages and salaries,0,1,17.0,,22.29631284916201,1564.0,,160.0,1,51.0,1997,129.5348,19160.893854748603,1000.0,500.0
24099,66643,graduated high school,3,1,1,0,0,0,0,0,0,0,1,0,employed all year,"occupations in art, culture, recreation and sport",educational services,0,0,1,working,wages and salaries,0,1,6.0,personal preference,31.35418994413408,52.0,,27.0,1,46.0,1997,1733.803,26128.49162011173,1000.0,20.0
24100,66649,some non-university postsecondary (no certificate),3,1,1,0,0,0,0,0,0,0,0,1,employed all year,middle management,manufacturing,0,1,0,working,wages and salaries,0,1,23.0,,23.68983240223464,2086.0,,59.0,1,50.0,1997,101.5909,48773.1843575419,1000.0,1000.0
24101,66651,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,1,1,0,employed all year,middle management,utilities,0,1,0,working,wages and salaries,0,1,21.0,,56.61173184357542,2086.0,,252.0,0,39.0,1997,113.88,121932.96089385476,1000.0,20.0
24102,66654,non-university postsecondary certificate,4,1,1,1,0,0,0,0,0,0,0,1,employed all year,middle management,transportation and warehousing,0,0,0,working,wages and salaries,0,1,18.0,,59.102648044692735,2086.0,,204.0,1,39.0,1997,95.435,126287.7094972067,100.0,100.0
24103,66656,graduated high school,3,1,1,0,0,0,0,0,0,0,0,1,employed all year,"financial, secretarial and administrative",trade,0,0,0,working,wages and salaries,0,1,9.0,,22.035027932960897,2294.0,,111.0,1,28.0,1997,113.5252,43547.48603351956,20.0,20.0
